o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15
-0.379494057,-0.281136055,-0.182778053,0,0,0,0,0,0,0,0,0,0,0,0
-0.379494057,-0.281136055,-0.182778053,-0.084420052,0,0,0,0,0,0,0,0,0,0,0
-0.379494057,-0.281136055,-0.182778053,0,0,0,0,0,0,0,0,0,0,0,0
-0.399165657,-0.300807655,-0.202449654,-0.104091652,-0.005733651,0.092624351,0.190982352,0.289340354,0.387698355,0,0,0,0,0,0
-0.399165657,-0.300807655,-0.202449654,-0.104091652,-0.005733651,0.092624351,0.190982352,0.289340354,0.387698355,0,0,0,0,0,0
0.358190955,0.456548957,0.554906958,0.65326496,0.751622961,0.849980963,0.948338964,1.046696966,0,0,0,0,0,0,0
0.358190955,0.456548957,0.554906958,0.65326496,0.751622961,0.849980963,0.948338964,1.046696966,0,0,0,0,0,0,0
0.358190955,0.456548957,0.554906958,0.65326496,0.751622961,0.849980963,0.948338964,1.046696966,0,0,0,0,0,0,0
0.368026755,0.466384757,0.564742758,0.66310076,0.761458761,0.859816763,0.958174764,1.056532766,0,0,0,0,0,0,0
0.368026755,0.466384757,0.564742758,0.66310076,0.761458761,0.859816763,0.958174764,1.056532766,0,0,0,0,0,0,0
0.368026755,0.466384757,0.564742758,0.66310076,0.761458761,0.859816763,0.958174764,1.056532766,0,0,0,0,0,0,0
0.928667364,1.027025365,1.125383367,1.223741369,1.32209937,0,0,0,0,0,0,0,0,0,0
0.928667364,1.027025365,1.125383367,1.223741369,1.32209937,0,0,0,0,0,0,0,0,0,0
0.977846365,1.076204366,1.174562368,1.272920369,0,0,0,0,0,0,0,0,0,0,0
0.486056357,0.584414359,0.68277236,0.781130362,0.879488363,0,0,0,0,0,0,0,0,0,0
0.515563757,0.613921759,0.712279761,0.810637762,0.908995764,0,0,0,0,0,0,0,0,0,0
0.495892157,0.594250159,0.69260816,0.790966162,0.889324163,0,0,0,0,0,0,0,0,0,0
0.495892157,0.594250159,0.69260816,0.790966162,0.889324163,0,0,0,0,0,0,0,0,0,0
