Station,Setup_date,Retrieval_date/Function Date,Latitude,Longitude
RP_Aukabenk_2019_16,11/3/2019,2/28/2020,15.4956,-84.6208
RP_Aukabenk_2019_17,11/2/2019,2/27/2020,15.5286,-84.635
RP_Aukabenk_2019_18,11/5/2019,12/2/2019,15.5243,-84.6404
RP_Aukabenk_2019_6,11/2/2019,2/27/2020,15.5061,-84.6815
RP_Aukabenk_2019_7,11/3/2019,2/28/2020,15.5245,-84.6721
RP_Aukabenk_2019_9,11/1/2019,2/27/2020,15.5108,-84.6552
RP_CBlanco_2017_1,2/21/2017,5/3/2017,15.2505,-84.9695
RP_CBlanco_2017_16,2/19/2017,7/7/2017,15.2288,-84.963
RP_CBlanco_2017_17,2/20/2017,6/13/2017,15.2413,-84.9595
RP_CBlanco_2017_19,2/20/2017,9/5/2017,15.2453,-84.9709
RP_CBlanco_2017_20,2/21/2017,9/5/2017,15.2507,-84.9755
RP_CBlanco_2017_4,2/22/2017,5/8/2017,15.2474,-84.9677
RP_CBlanco_2017_5,2/22/2017,4/10/2017,15.2443,-84.9629
RP_CBlanco_2017_6,2/22/2017,4/26/2017,15.2485,-84.9731
RP_CBlanco_2017_7,2/22/2017,7/20/2017,15.2467,-84.9757
RP_CBlanco_2017_8,2/21/2017,5/4/2017,15.2441,-84.973
RP_Nucleo_2021_1,4/27/2021,10/22/2021,15.4025,-85.1762
RP_Nucleo_2021_3,4/29/2021,6/14/2021,15.4484,-85.0878
RP_Uhurra_2020_10,10/30/2020,12/13/2020,15.3303,-84.8836
RP_Uhurra_2020_11,10/30/2020,1/28/2021,15.342,-84.8851
RP_Uhurra_2020_12,10/30/2020,1/28/2021,15.3494,-84.8873
RP_Uhurra_2020_15,10/29/2020,1/27/2021,15.3521,-84.8939
RP_Uhurra_2020_16,10/30/2020,1/27/2021,15.3435,-84.8929
RP_Uhurra_2020_17,10/30/2020,1/27/2021,15.3501,-84.8922
RP_Uhurra_2020_18,10/30/2020,12/26/2020,15.3571,-84.8955
RP_Uhurra_2020_4,10/30/2020,12/24/2020,15.3351,-84.8784
RP_Uhurra_2020_5,10/30/2020,12/1/2020,15.3364,-84.8823
RP_Uhurra_2020_6,10/26/2020,12/4/2020,15.3392,-84.8877
RP_Uhurra_2020_9,10/30/2020,1/27/2021,15.3332,-84.8824
RP_Wuarska_2021_1,11/11/2021,1/29/2022,15.3111,-85.2945
RP_Wuarska_2021_10,11/13/2021,1/31/2022,15.3359,-85.2732
RP_Wuarska_2021_11,11/13/2021,12/11/2021,15.3422,-85.2771
RP_Wuarska_2021_3,11/12/2021,12/15/2021,15.3259,-85.2825
RP_Wuarska_2021_4,11/12/2021,1/22/2022,15.3574,-85.2386
RP_Wuarska_2021_5,11/12/2021,1/31/2022,15.3413,-85.2578
RP_Wuarska_2021_6,11/12/2021,1/30/2022,15.3382,-85.2634
RP_Wuarska_2021_7,11/13/2021,1/30/2022,15.3373,-85.2612
RP_Wuarska_2021_8,11/13/2021,1/30/2022,15.3338,-85.2626
SantaBarbara_2019_1,2/16/2019,4/20/2019,14.9085,-88.115
SantaBarbara_2019_3,2/17/2019,3/16/2019,14.9472,-88.1307
SantaBarbara_2019_4,2/18/2019,4/21/2019,14.8722,-88.1503
SantaBarbara_2019_5,2/17/2019,4/20/2019,14.9079,-88.0975
SantaBarbara_2019_6,2/15/2019,4/18/2019,14.8703,-88.1484
SantaBarbaraN_2021_1,7/4/2021,9/19/2021,15.0766,-88.0952
SantaBarbaraN_2021_2,7/4/2021,9/19/2021,15.0467,-88.1227
SantaBarbaraN_2021_3,7/10/2021,9/19/2021,14.9981,-88.1503
SantaBarbaraN_2021_4,7/16/2021,9/24/2021,15.0915,-88.1372
SantaBarbaraN_2021_5,7/16/2021,9/24/2021,15.0861,-88.1261
Texiguat_2017_2V_12,7/18/2017,11/17/2017,15.4453,-87.304
Texiguat_2017_2VHS_13,1/11/2017,6/16/2017,15.4451,-87.304
Texiguat_2017_2VHS_14,1/12/2017,6/15/2017,15.4343,-87.3124
