Station,Setup_date,Retrieval_date,Latitude,Longitude,Patch ID,Raw_Parea_d80_km,PatchSize,C_Function,Duration,Human_Ratio,AgAnimal_Ratio,D_2_PA,HMI,VNL_2,P_Area_log,D_2_Core,Canopy,Elev,NPP,Precip
Cortes_Omoa_2020_8,1/14/2020,2/16/2020,15.7806,-87.8643,91,48,2_Medium,1,-1.449587306,0.842967661,-0.194890231,0.566303849,1.029969841,3.887398049,-0.624975895,1.95419371,-1.642217907,-0.726073268,0.139965384,-0.097171491
Cortes_Omoa_2020_9,1/15/2020,5/20/2020,15.7492,-87.9566,117,48,2_Medium,1,1.89584418,-0.449701122,-0.194890231,2.700553614,0.532140889,1.289542576,-0.624975895,0.84168367,-0.690708358,-0.719121768,-0.199054456,0.314066882
CueroySalado_2020_1,7/24/2020,10/3/2020,15.7687,-87.0221,92,4,1_Small,1,-0.082636806,-0.353918561,-0.032001687,-0.363661862,-0.69441939,-0.223845356,-1.740294882,0.615761,-1.649420582,-1.241196821,1.194561786,1.144893647
CueroySalado_2020_2,7/24/2020,10/3/2020,15.7599,-87.0037,92,4,1_Small,1,-0.082636806,-0.353918561,-0.194890231,-0.363661862,-0.536433923,-0.089301728,-1.740294882,0.42887532,-2.333420856,-1.242319057,1.092166866,1.184556232
CueroySalado_2020_3,7/25/2020,10/4/2020,15.7633,-87.0492,101,4,1_Small,2,-0.082636806,-0.353918561,-0.194890231,-0.363661862,-0.761053848,-0.337988508,-1.740294882,0.741953468,-1.507894543,-1.242092299,1.103095327,1.11775609
CueroySalado_2020_5,7/25/2020,10/3/2020,15.7745,-87.0717,109,3,1_Small,3,-0.118609188,-0.239501938,-0.194890231,-0.363661862,-0.770362307,-0.369979893,-1.869417349,0.984478208,-1.213343612,-1.239389979,1.184346052,1.115668585
CueroySalado_2020_6,7/25/2020,10/1/2020,15.7647,-87.0792,109,3,1_Small,1,-0.190553951,-0.344237864,-0.194890231,-0.363661862,-0.72693528,-0.299053481,-1.869417349,0.941135203,-0.835772481,-1.236170592,1.159083887,1.044693434
CueroySalado_2020_7,7/26/2020,9/20/2020,15.7847,-87.145,88,1,1_Small,1,-0.62222253,-0.4342453,-0.194890231,-0.363661862,-0.668455797,-0.45144547,-2.362515609,1.553448208,-2.657540696,-1.249153573,-0.295457407,1.040518426
CueroySalado_2020_9,7/26/2020,10/3/2020,15.7467,-87.0008,92,4,1_Small,1,-0.154581569,-0.347558296,-0.194890231,-0.363661862,0.311410805,-0.103384895,-1.740294882,0.273368614,-1.851600548,-1.23803954,1.151639863,1.203343771
Cusuco_2014_1,2/20/2014,3/28/2014,15.5064,-88.2341,370,563,3_Large,1,-1.341670161,0.292178353,-0.194890231,-0.363661862,0.087059304,-0.333716572,0.480097018,-0.502083145,0.736935326,1.779021249,-0.213863311,-0.222421757
Cusuco_2014_10,2/23/2014,4/10/2014,15.5147,-88.2421,370,563,3_Large,1,-0.981946345,-0.234663593,-0.194890231,-0.363661862,0.103520179,-0.267686509,0.480097018,-0.502083145,0.770547599,1.775782979,-0.205706562,-0.205721722
Cusuco_2014_11,2/22/2014,4/12/2014,15.5063,-88.2212,370,563,3_Large,1,-0.874029201,-0.255399355,-0.194890231,-0.363661862,0.091728315,-0.340185382,0.480097018,-0.502083145,0.730743444,1.653651455,-0.372959517,-0.20989673
Cusuco_2014_12,2/21/2014,4/10/2014,15.5233,-88.2327,370,563,3_Large,1,-0.910001582,-0.248775431,-0.194890231,-0.363661862,0.100309415,-0.219743094,0.480097018,-0.502083145,0.990544805,2.025982279,-0.557080313,-0.197371704
Cusuco_2014_4,2/21/2014,4/10/2014,15.5165,-88.2296,370,563,3_Large,1,-0.910001582,-0.248775431,-0.194890231,-0.363661862,0.094326628,-0.287183081,0.480097018,-0.502083145,0.944801779,2.017753931,-0.557080313,-0.197371704
Cusuco_2014_5,2/23/2014,4/11/2014,15.4882,-88.2307,370,563,3_Large,1,-0.945973964,-0.241869638,-0.194890231,-0.363661862,0.092053842,-0.35601512,0.480097018,-0.502083145,0.955163335,0.911738095,-0.351736131,-0.226596766
Cusuco_2014_6,2/22/2014,4/4/2014,15.4997,-88.2186,370,563,3_Large,1,-1.161808253,-0.383354177,-0.194890231,-0.363661862,0.095309259,-0.372819893,0.480097018,-0.502083145,0.77977217,1.653651455,-0.217268556,-0.224509262
Cusuco_2014_7,2/22/2014,3/18/2014,15.4858,-88.2374,370,563,3_Large,1,-1.77333874,-0.248775431,-0.194890231,-0.363661862,0.078919538,-0.417840481,0.480097018,-0.502083145,0.640015173,0.716720336,-0.351736131,-0.145184093
Cusuco_2014_8,2/23/2014,4/1/2014,15.5046,-88.2356,370,563,3_Large,1,-1.30569778,-0.362814337,-0.194890231,-0.363661862,0.087059304,-0.333716572,0.480097018,-0.502083145,0.736935326,1.779021249,-0.213863311,-0.220334253
Cusuco_2014_9,2/21/2014,3/25/2014,15.5202,-88.2321,370,563,3_Large,1,-1.485559687,-0.329918499,-0.194890231,-0.363661862,0.100309415,-0.287183081,0.480097018,-0.502083145,0.990544805,2.025982279,-0.557080313,-0.197371704
Cusuco_2019_10,6/24/2019,7/25/2019,15.5295,-88.2811,370,563,3_Large,1,-1.521532069,0.43177933,-0.194890231,-0.363661862,0.212460463,-0.196479947,0.480097018,-0.502083145,0.566346048,1.168656432,-0.031722309,-0.088821473
